Name,,,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
60 Stafford St,,,,Abbotsford,-37.8007,144.9958,h,1290000,3,59,29/03/2020,0.55,10,0
11/205 Gipps St,,,,Abbotsford,-37.8055,144.9961,u,470000,4,72,27/03/2020,0.66,1,232
47 Studley St,,,,Abbotsford,-37.8016,144.9956,h,1180000,1,18,23/01/2020,0.16,1,0
45 Yarra St,,,,Abbotsford,-37.8022,144.9954,h,1195000,1,92,29/02/2020,0.98,1,149
200 Nicholson St,,,,Abbotsford,-37.8021,144.9976,h,1012500,2,1,7/05/2017,0.02,2,0
27 Charles St,,,,Abbotsford,-37.8086,144.9946,h,1030000,3,77,29/09/2016,0.71,1,365
154 Halsey Rd,,,,Airport West,-37.718,144.878,t,840000,7,21,25/01/2020,0.2,1,292
50 Bedford St,,,,Airport West,-37.7203,144.8755,h,730000,3,22,26/09/2019,0.21,2,74
50 Bedford St,,,,Airport West,-37.7203,144.8755,h,770000,3,5,27/07/2018,0.11,1,0
23 Hart St,,,,Airport West,-37.7294,144.888,h,603000,1,0,,,1,0
1/80 Hawker St,,,,Airport West,-37.7218,144.8837,t,700000,2,76,15/03/2020,1.05,1,362
1/37 Hillside Gr,,,,Airport West,-37.7273,144.8744,h,600000,3,21,8/03/2020,0.2,8,289
2/49 McIntosh St,,,,Airport West,-37.7215,144.8864,u,500000,2,8,28/02/2018,0.07,1,0
54 Marshall Rd,,,,Airport West,-37.7173,144.8872,h,720000,2,76,16/12/2019,0.77,1,342
36 Roberts Rd,,,,Airport West,-37.7259,144.8792,h,785000,1,228,21/03/2020,2.19,1,324
11 Harrington Rd,,,,Airport West,-37.7239,144.8735,h,725000,1,0,,,1,365
2/252 Parer Rd,,,,Airport West,-37.7216,144.871,t,450000,3,281,13/03/2020,2.62,1,323
3/19 Hart St,,,,Airport West,-37.7298,144.8883,u,515000,2,142,16/02/2020,1.33,1,0
2/62 Clydesdale Rd,,,,Airport West,-37.7234,144.8792,u,530000,3,81,16/03/2020,0.76,1,365
3 Deidre Ct,,,,Airport West,-37.7249,144.8728,h,895000,4,12,14/01/2020,0.13,1,124
13 Etzel St,,,,Airport West,-37.7217,144.8783,h,805000,1,7,23/01/2017,0.07,1,89
1/43 Cameron St,,,,Airport West,-37.7302,144.8855,u,752000,1,0,,,1,0
145a Victory Rd,,,,Airport West,-37.7177,144.8787,u,440000,6,155,17/03/2020,1.48,1,313
241 Parer Rd,,,,Airport West,-37.7248,144.8699,h,755000,2,122,15/03/2020,1.16,1,364
2/40 Earl St,,,,Airport West,-37.727,144.887,t,700000,2,51,23/02/2020,0.49,24,365
180 Parer Rd,,,,Airport West,-37.7186,144.876,h,830000,2,17,31/03/2020,0.36,1,0
4/54 Hawker St,,,,Airport West,-37.7218,144.8863,u,462500,14,41,31/03/2020,0.45,1,365
43 Hillside Gr,,,,Airport West,-37.7269,144.8742,h,670000,5,0,,,1,364
174 Parer Rd,,,,Airport West,-37.7187,144.8765,h,675000,1,0,,,1,365
138 Victory Rd,,,,Airport West,-37.7173,144.8796,h,1042000,1,520,21/07/2020,4.91,2,5
75 King St,,,,Airport West,-37.7231,144.8835,h,910000,2,12,6/07/2020,0.12,2,362
6 Kittyhawk St,,,,Airport West,-37.7263,144.8679,h,773000,3,62,2/01/2020,0.77,10,0
478 Fullarton Rd,,,,Airport West,-37.7285,144.8694,h,810000,3,129,15/03/2020,1.83,1,154
144 Marshall Rd,,,,Airport West,-37.7164,144.8792,h,715000,2,34,15/03/2020,0.44,1,2
106 Parer Rd,,,,Airport West,-37.7194,144.8827,h,790000,2,4,9/06/2019,0.06,2,365
3/7 South Rd,,,,Airport West,-37.7231,144.8802,t,540000,1,280,2/05/2020,2.68,10,0
37 North St,,,,Airport West,-37.72,144.8776,t,825000,2,70,16/03/2020,0.85,1,0
10 Hilbert Rd,,,,Airport West,-37.7226,144.8733,h,685000,1,106,19/02/2020,1.01,1,364
110 Halsey Rd,,,,Airport West,-37.7184,144.882,h,805000,2,24,2/02/2020,1.2,1,0
2/13 North St,,,,Airport West,-37.7202,144.8797,u,510000,2,175,16/07/2020,1.68,1,90
105a Victory Rd,,,,Airport West,-37.7181,144.8824,h,612000,5,47,19/12/2019,0.46,5,242
117 Marshall Rd,,,,Airport West,-37.7169,144.8815,h,662000,1,100,8/03/2020,1,10,0
34 Moorna Dr,,,,Airport West,-37.7263,144.869,h,978000,3,0,,,1,365
33 North St,,,,Airport West,-37.72,144.878,h,720000,1,46,23/01/2019,0.46,3,365
49 Roberts Rd,,,,Airport West,-37.7261,144.8785,h,765000,1,87,1/06/2020,0.9,24,359
85 Roberts Rd,,,,Airport West,-37.7256,144.8739,h,900000,2,7,12/03/2020,0.37,1,1
105 Kerferd Rd,,,,Albert Park,-37.8459,144.9555,h,1275000,1,4,23/02/2019,0.06,1,365
85 Richardson St,,,,Albert Park,-37.845,144.9538,h,1455000,3,0,,,1,365
112 Beaconsfield Pde,,,,Albert Park,-37.8481,144.9499,h,2850000,1,260,19/03/2020,2.64,1,357
94 Graham St,,,,Albert Park,-37.8452,144.9488,h,1850000,30,37,1/08/2020,0.39,1,365
396 Montague St,,,,Albert Park,-37.8431,144.9565,h,1436000,5,16,26/03/2018,0.16,2,0
75 Graham St,,,,Albert Park,-37.8444,144.9484,h,1110000,30,0,,,1,365
54 Brooke St,,,,Albert Park,-37.8405,144.9521,h,1550000,2,230,8/08/2020,2.27,1,356
104 Richardson St,,,,Albert Park,-37.8447,144.9523,h,2300000,5,237,10/07/2020,2.47,1,108
4a Mills St,,,,Albert Park,-37.8443,144.9598,t,1550000,3,5,26/09/2018,0.05,8,282
1 Moubray St,,,,Albert Park,-37.8415,144.952,h,1800000,14,60,30/04/2020,0.59,10,49
29 Faussett St,,,,Albert Park,-37.8422,144.9554,h,2120000,2,1,11/05/2019,0.06,1,0
3 Herbert St,,,,Albert Park,-37.8443,144.9579,h,1800000,7,3,30/07/2016,0.03,1,0
24 Kerferd Pl,,,,Albert Park,-37.8421,144.9571,h,1800000,6,108,24/03/2020,1.07,1,316
44 Draper St,,,,Albert Park,-37.8379,144.9539,h,1810000,14,52,17/07/2020,0.53,10,178
2 Dundas Pl,,,,Albert Park,-37.8415,144.9585,h,2615000,10,4,30/12/2017,0.05,1,0
23 Finlay St,,,,Albert Park,-37.8436,144.9557,h,2100000,2,193,24/05/2020,2.01,2,321
31 Richardson St,,,,Albert Park,-37.8422,144.949,h,1300000,1,25,8/06/2019,0.3,5,180
4a Gatehouse La,,,,Albert Park,-37.8451,144.9511,h,1370000,1,29,3/03/2018,0.32,3,354
60 Brooke St,,,,Albert Park,-37.8407,144.9523,h,1000000,1,2,8/11/2019,0.21,5,0
70 Barrett St,,,,Albert Park,-37.8445,144.9501,h,2575000,5,3,15/02/2016,0.04,1,365
65 Graham St,,,,Albert Park,-37.8443,144.9481,h,1322500,3,4,20/02/2019,0.07,72,337
364 Montague St,,,,Albert Park,-37.8424,144.9562,h,1562500,3,62,20/03/2020,0.63,1,1
86 Mills St,,,,Albert Park,-37.847,144.9575,h,2000000,3,7,27/01/2020,0.12,72,365
129 Kerferd Rd,,,,Albert Park,-37.8468,144.9546,h,1900000,3,3,5/02/2019,0.14,72,365
97 Page St,,,,Albert Park,-37.8473,144.9551,h,3010000,3,4,29/02/2020,0.11,72,365
55 Withers St,,,,Albert Park,-37.8467,144.9475,h,2800000,3,13,1/02/2020,0.2,72,365
10/140 Kerferd Rd,,,,Albert Park,-37.846,144.9542,u,647000,3,6,26/12/2019,0.09,72,365
55 Merton St,,,,Albert Park,-37.8427,144.9546,h,2100000,1,61,26/07/2020,0.66,1,294
49 Page St,,,,Albert Park,-37.8461,144.9528,h,2000000,2,27,26/12/2019,0.28,1,365
13/52 Moubray St,,,,Albert Park,-37.8421,144.9517,u,442500,4,3,15/11/2015,0.03,1,0
115 Page St,,,,Albert Park,-37.8477,144.9558,h,4735000,3,6,27/01/2020,0.25,72,365
32 Page St,,,,Albert Park,-37.846,144.9517,h,1340000,3,8,28/12/2019,0.12,72,365
34 Richardson St,,,,Albert Park,-37.8429,144.9493,h,1801000,2,265,20/03/2020,2.69,1,47
2b Dundas Pl,,,,Albert Park,-37.8415,144.9585,h,1532000,1,9,24/03/2020,0.5,5,365
22 Greig St,,,,Albert Park,-37.8413,144.95,h,3755000,1,4,31/01/2020,0.13,5,365
27 Barrett St,,,,Albert Park,-37.8434,144.9495,h,2140000,1,6,6/04/2020,0.24,5,364
44 Greig St,,,,Albert Park,-37.8416,144.9488,h,1750000,1,0,,,1,365
6 Brooke St,,,,Albert Park,-37.8387,144.9519,h,980000,1,65,23/02/2018,0.69,1,365
227a Danks St,,,,Albert Park,-37.8488,144.9551,h,2030000,1,0,,,1,365
17 Reed St,,,,Albert Park,-37.8448,144.9453,h,1740000,3,38,27/01/2020,0.4,3,364
74 Bridport St,,,,Albert Park,-37.8399,144.9577,h,2800000,1,158,5/07/2020,1.71,1,225
9 Durham St,,,,Albert Park,-37.8411,144.9497,h,985000,1,10,16/03/2020,0.12,3,231
6 Smith St,,,,Alphington,-37.7707,145.0318,h,2000000,1,6,7/12/2015,0.06,3,365
5/6 Yarralea St,,,,Alphington,-37.7854,145.0325,h,1110000,3,6,17/03/2015,0.06,3,365
136A Fulham Rd,,,,Alphington,-37.7713,145.0279,h,1492000,2,94,10/03/2018,1.44,1,181
44 Shiers St,,,,Alphington,-37.7717,145.031,h,1717500,1,22,14/03/2020,0.64,1,181
83 Fulham Rd,,,,Alphington,-37.775,145.0268,h,2840000,2,29,14/02/2020,0.32,4,364
3/19 Harker St,,,,Alphington,-37.7791,145.0306,u,525500,1,31,12/06/2016,0.34,7,364
4/2 Miller St,,,,Alphington,-37.7804,145.0308,t,805000,1,178,29/07/2020,1.89,7,54
2/5 Yarana Rd,,,,Alphington,-37.7773,145.0314,u,465000,1,0,,,2,365
815 Heidelberg Rd,,,,Alphington,-37.78,145.0341,h,2000000,10,32,30/06/2020,0.33,10,174
44 Naroon Rd,,,,Alphington,-37.7755,145.0288,h,1540000,2,25,17/02/2019,0.25,1,178
3/98 Grange Rd,,,,Alphington,-37.7747,145.0264,u,820000,3,138,26/01/2020,1.42,4,299
10 Bennett St,,,,Alphington,-37.7743,145.0316,h,1830000,4,19,18/02/2019,0.22,1,363
38 Bennett St,,,,Alphington,-37.7723,145.0319,h,2100000,1,53,16/03/2019,0.56,1,364
2c Hamilton St,,,,Alphington,-37.7802,145.0243,h,865000,3,15,14/02/2019,0.18,5,0
5/5 Yarana Rd,,,,Alphington,-37.7773,145.0314,u,390000,2,175,17/07/2020,1.9,1,181
7/7 Chandler Hwy,,,,Alphington,-37.7848,145.025,t,650000,6,53,15/03/2020,0.55,1,11
1/14 Fulham Rd,,,,Alphington,-37.7805,145.0262,u,512000,1,21,25/06/2020,1.09,1,0
22 Lowther St,,,,Alphington,-37.7792,145.029,h,1165000,2,9,9/07/2020,0.11,3,365
11 Margaret Gr,,,,Alphington,-37.7844,145.0225,h,1900000,14,35,9/06/2020,0.38,10,101
6 Naroon Rd,,,,Alphington,-37.7781,145.0284,h,1485000,14,1,16/09/2013,0.01,3,0
42 Shiers St,,,,Alphington,-37.7719,145.0309,h,1950000,3,21,24/01/2019,0.21,24,180
158 Queen St,,,,Altona,-37.87,144.825,h,520000,3,118,5/02/2020,1.22,2,179
59 Bracken Gr,,,,Altona,-37.8721,144.8105,h,1525000,20,22,12/10/2019,0.23,2,274
1/123 Blyth St,,,,Altona,-37.8687,144.8197,t,720000,3,2,15/09/2019,0.16,1,10
4 Blyth St,,,,Altona,-37.8693,144.8375,h,1120000,2,17,28/06/2018,0.17,1,0
20 Linnet St,,,,Altona,-37.868,144.8154,h,780000,1,123,20/02/2020,1.29,1,0
29 Rose St,,,,Altona,-37.8681,144.819,h,1780000,3,311,19/07/2020,3.3,1,280
1/170 Blyth St,,,,Altona,-37.8702,144.8143,u,630000,3,132,10/05/2018,1.36,1,365
5/35 Grieve Pde,,,,Altona,-37.8693,144.8171,u,406000,1,13,25/03/2018,0.19,3,355
156 Maidstone St,,,,Altona,-37.8616,144.8116,h,660000,1,10,20/02/2018,0.14,3,354
11 Keeshan Ct,,,,Altona,-37.8594,144.817,h,683500,5,31,8/10/2019,0.33,1,87
1/136 Queen St,,,,Altona,-37.8696,144.827,u,580000,3,104,22/03/2020,1.12,1,354
173 Queen St,,,,Altona,-37.8697,144.8249,h,1335000,2,28,28/01/2020,0.29,24,365
1/265 Queen St,,,,Altona,-37.8734,144.8143,t,800000,1,20,8/03/2020,0.23,24,89
3/26 Grieve Pde,,,,Altona,-37.8686,144.8182,u,510000,7,11,9/09/2015,0.12,1,364
261 Queen St,,,,Altona,-37.8733,144.8147,h,1070000,1,0,,,1,365
4/5 Rose St,,,,Altona,-37.871,144.8185,u,425000,1,1,1/03/2014,0.01,1,0
1/60 David St,,,,Altona,-37.8646,144.827,u,605000,2,26,14/03/2020,0.33,4,364
1A Merritt Ct,,,,Altona,-37.8579,144.8181,t,705000,2,20,18/12/2019,0.21,4,365
4/31 Millers Rd,,,,Altona,-37.8678,144.8384,u,391000,2,31,26/06/2019,0.38,4,179
111/112 Pier St,,,,Altona,-37.8659,144.831,u,440000,4,21,27/02/2019,0.22,1,57
24 Wren St,,,,Altona,-37.8658,144.8155,h,845000,1,14,13/05/2016,0.15,1,244
1/152 Blyth St,,,,Altona,-37.8698,144.816,t,743000,2,3,3/01/2014,0.03,1,0
4/57 Blyth St,,,,Altona,-37.868,144.8286,u,730000,4,85,30/01/2020,0.92,2,181
164 Maidstone St,,,,Altona,-37.8611,144.8114,h,635000,2,235,1/02/2019,2.55,1,0
3/25 Rayner St,,,,Altona,-37.8676,144.8202,u,620000,3,78,7/03/2020,1.01,10,0
3/46 Sargood St,,,,Altona,-37.8655,144.8299,u,447000,20,86,14/12/2019,0.91,2,169
1/57 Blyth St,,,,Altona,-37.868,144.8287,u,730000,14,29,19/04/2020,0.32,10,365
22 Fenfield St,,,,Altona,-37.8608,144.8124,h,678000,2,116,28/03/2020,2.3,2,268
5/8 David St,,,,Altona,-37.8687,144.8268,u,580000,21,63,30/04/2020,0.68,2,229
1/28 Seves St,,,,Altona,-37.8674,144.8375,h,712000,5,1,5/05/2018,0.04,4,0
27 McIntyre Dr,,,,Altona,-37.86,144.8245,h,840000,1,0,,,1,365
4 Boyd St,,,,Altona,-37.8672,144.817,h,980000,7,10,9/06/2020,0.15,24,91
12 Spear Ct,,,,Altona,-37.8583,144.8172,t,605100,3,6,19/01/2017,0.07,1,0
185 Queen St,,,,Altona,-37.8699,144.8235,h,880000,2,249,27/07/2020,2.65,1,254
3/20 Mulga St,,,,Altona,-37.8684,144.815,u,577000,14,34,28/10/2017,0.36,41,365
51 Millers Rd,,,,Altona,-37.8663,144.8387,h,1030000,3,17,6/03/2020,0.18,1,89
2/119 Railway St N,,,,Altona,-37.8659,144.822,u,605000,2,290,10/06/2020,3.12,1,365
24 McIntyre Dr,,,,Altona,-37.8612,144.8247,h,753000,21,0,,,2,365
104 Maidstone St,,,,Altona,-37.8653,144.8129,h,857000,4,198,19/07/2020,2.13,1,152
49 Bent St,,,,Altona,-37.8651,144.832,h,1500000,3,10,10/07/2017,0.11,3,173
5/57 Blyth St,,,,Altona,-37.868,144.8285,u,730000,7,11,12/07/2020,0.22,2,294
15 Kookaburra St,,,,Altona,-37.871,144.8075,h,900000,1,29,26/12/2019,0.31,24,364
219 Civic Pde,,,,Altona,-37.8631,144.8195,h,740000,10,52,2/01/2020,0.67,1,91
3 Curtin Ct,,,,Altona,-37.8637,144.8365,h,931000,3,18,18/08/2019,0.21,1,79
2/60 David St,,,,Altona,-37.8646,144.8272,h,535600,4,123,22/01/2020,1.33,2,0
45 Hearn St,,,,Altona North,-37.8388,144.8567,h,1085000,3,73,17/04/2020,0.79,2,335
4 Knapp St,,,,Altona North,-37.8291,144.835,h,781000,2,254,6/08/2020,2.81,2,359
21 Hatherley Gr,,,,Altona North,-37.8449,144.85,h,750000,1,1,25/03/2018,0.03,3,364
3/66 Marion St,,,,Altona North,-37.8351,144.8529,t,421000,1,1,17/03/2019,0.06,3,365
153 Mills St,,,,Altona North,-37.8338,144.8562,h,1405000,1,187,15/02/2020,2.05,4,87
33 Carthy St,,,,Altona North,-37.8284,144.8355,h,683000,3,165,20/07/2020,1.8,2,151
16 Harris St,,,,Altona North,-37.8267,144.8368,h,623000,3,78,15/03/2020,0.88,10,0
1/5 Little St,,,,Altona North,-37.8379,144.8583,h,720000,10,14,7/01/2020,0.17,1,243
1/95 Mills St,,,,Altona North,-37.838,144.8555,h,588000,1,29,29/02/2020,0.37,2,354
5 Binns St,,,,Altona North,-37.8294,144.8378,h,710000,1,41,28/06/2020,0.48,2,365
25 Allan St,,,,Altona North,-37.8448,144.8529,h,875000,1,2,7/04/2017,0.04,3,365
21 Hatherley Gr,,,,Altona North,-37.8449,144.85,h,700000,3,215,22/07/2020,2.35,1,344
1/256 Mason St,,,,Altona North,-37.8397,144.8602,t,640000,5,51,26/03/2020,0.58,5,262
21 Allan St,,,,Altona North,-37.8451,144.8529,h,650000,1,25,23/03/2019,0.28,1,365
2/36 May St,,,,Altona North,-37.8337,144.8554,h,675000,803,142,30/07/2017,1.57,1,127
11 Beevers St,,,,Altona North,-37.8258,144.8523,h,708000,2,86,12/03/2020,1.06,4,294
10 Murphy St,,,,Altona North,-37.8345,144.8444,h,965000,1,18,14/11/2019,0.23,1,87
16 Beevers St,,,,Altona North,-37.8254,144.8514,h,680000,1,108,9/03/2020,1.2,2,91
21 Neal Ct,,,,Altona North,-37.8327,144.8451,h,770000,2,20,3/07/2020,0.23,7,363
31 Duosa Rd,,,,Altona North,-37.8269,144.8455,h,923000,3,137,27/04/2020,1.5,2,0
252 Millers Rd,,,,Altona North,-37.8391,144.8467,h,693000,10,180,21/03/2020,2.19,3,91
1/156 Chambers Rd,,,,Altona North,-37.8262,144.8443,h,620000,3,233,9/03/2020,2.58,1,364
2 Gadsden St,,,,Altona North,-37.8277,144.8385,h,728500,2,152,24/01/2020,1.84,2,141
24 Hansen St,,,,Altona North,-37.8382,144.8649,h,931000,5,29,3/08/2018,0.33,5,365
4 Prismall St,,,,Altona North,-37.8423,144.8632,h,988000,1,104,11/07/2020,1.43,1,362
122 McIntosh Rd,,,,Altona North,-37.8444,144.8491,h,590000,2,280,15/03/2020,3.08,3,361
35 May St,,,,Altona North,-37.834,144.8553,h,610000,2,63,14/06/2020,0.7,2,364
6 Hill St,,,,Altona North,-37.8318,144.8388,h,815000,2,140,6/07/2020,1.57,41,179
84 May St,,,,Altona North,-37.833,144.8494,h,970000,7,162,16/08/2020,1.92,1,305
155 Chambers Rd,,,,Altona North,-37.8262,144.8439,h,760000,2,69,4/03/2020,0.97,3,365
268d Mason St,,,,Altona North,-37.8393,144.8568,t,847500,2,23,27/01/2020,0.26,3,0
5 Cresser St,,,,Altona North,-37.8375,144.8541,h,1200000,1,112,14/03/2020,1.24,3,0
107 McIntosh Rd,,,,Altona North,-37.8441,144.8505,h,700000,14,81,4/03/2018,0.89,41,365
10 Knapp St,,,,Altona North,-37.8285,144.8351,h,625000,1,2,3/03/2019,0.03,1,365
4/221 Blackshaws Rd,,,,Altona North,-37.8332,144.8649,u,292000,1,5,10/09/2016,0.07,1,365
8/19 Mercer Rd,,,,Armadale,-37.8543,145.0262,u,599000,2,73,21/06/2020,0.81,2,63
1/42 Adelaide St,,,,Armadale,-37.8539,145.0284,u,550000,1,30,6/03/2020,0.33,3,162
14/71 Denbigh Rd,,,,Armadale,-37.8552,145.016,u,995000,1,132,29/03/2020,1.55,10,0
4/769 High St,,,,Armadale,-37.854,145.0135,t,1205000,1,55,13/02/2020,0.61,1,359
7 Llaneast St,,,,Armadale,-37.8614,145.0274,h,1939000,4,0,,,1,365
9/55 Northcote Rd,,,,Armadale,-37.853,145.0167,u,421500,7,44,29/11/2019,0.52,1,364
28 Cambridge St,,,,Armadale,-37.8592,145.0182,h,1870000,5,29,17/07/2020,0.36,5,365
3/16 Fulton St,,,,Armadale,-37.8538,145.0127,u,678000,3,18,8/03/2020,0.23,2,201
3/20 Mercer Rd,,,,Armadale,-37.8537,145.0267,t,1918000,2,127,23/03/2020,1.43,1,268
1/77 Wattletree Rd,,,,Armadale,-37.8619,145.0257,u,660000,3,22,24/02/2020,0.26,1,365
12 Willis St,,,,Armadale,-37.8574,145.0281,h,2050000,2,29,2/02/2020,0.36,1,364
8/71 Denbigh Rd,,,,Armadale,-37.8552,145.016,u,700000,2,60,2/07/2020,0.71,2,293
11/17 Myamyn St,,,,Armadale,-37.8555,145.0291,u,3625000,2,18,21/04/2019,0.22,4,363
526 Orrong Rd,,,,Armadale,-37.858,145.0111,h,3000000,28,140,29/01/2020,1.55,1,10
553 Dandenong Rd,,,,Armadale,-37.8638,145.0229,h,1525000,2,5,17/09/2018,0.06,6,333
9/19 Mercer Rd,,,,Armadale,-37.8543,145.0262,u,735000,4,108,15/03/2020,1.23,1,323
6/26 Mercer Rd,,,,Armadale,-37.8528,145.0268,u,825000,1,1,22/12/2017,0.03,1,0
538a Orrong Rd,,,,Armadale,-37.8566,145.0116,t,1586000,2,42,22/10/2017,0.51,1,358
18/41 Kooyong Rd,,,,Armadale,-37.8596,145.0198,u,645000,14,0,,,11,88
10 William St,,,,Armadale,-37.8564,145.0228,h,1435000,14,9,2/02/2020,0.1,3,0
15/405 Dandenong Rd,,,,Armadale,-37.8619,145.0185,u,280000,1,42,7/11/2019,0.56,1,365
1/2 Armadale St,,,,Armadale,-37.8605,145.0185,u,400000,3,67,5/02/2020,0.79,2,201
4/20 Mercer Rd,,,,Armadale,-37.8537,145.0267,h,1780000,3,27,30/12/2019,0.31,2,210
8/58 Sutherland Rd,,,,Armadale,-37.8574,145.0174,u,592500,7,10,28/02/2020,0.14,1,364
40 New St,,,,Armadale,-37.8543,145.016,h,1210000,7,48,18/07/2020,0.56,1,358
35 Northcote Rd,,,,Armadale,-37.8536,145.0173,h,2801000,2,65,4/04/2020,0.74,2,180
7/53 Wattletree Rd,,,,Armadale,-37.8614,145.0222,u,390000,4,65,3/03/2020,0.73,2,365
791 High St,,,,Armadale,-37.8545,145.0145,h,1800000,1,173,30/05/2017,1.96,1,0
25 Llaneast St,,,,Armadale,-37.8613,145.0264,h,2200000,14,28,11/02/2020,0.32,10,365
8/569 Orrong Rd,,,,Armadale,-37.8537,145.0114,u,324000,10,3,2/10/2019,0.07,4,219
367 Dandenong Rd,,,,Armadale,-37.8602,145.013,h,5525000,1,45,8/03/2020,0.68,1,355
34a Rose St,,,,Armadale,-37.851,145.0161,h,1125000,14,17,10/06/2019,0.21,3,103
42 Rose St,,,,Armadale,-37.8511,145.0167,h,2250000,3,22,25/02/2017,0.39,1,0
12 Auburn Gr,,,,Armadale,-37.8558,145.015,h,2360000,25,32,28/07/2017,0.37,1,363
31 Hume St,,,,Armadale,-37.8571,145.0224,h,1900000,1,0,,,1,365
10/581 Orrong Rd,,,,Armadale,-37.8531,145.0115,u,440000,3,4,19/03/2017,0.05,8,293
7/579 Dandenong Rd,,,,Armadale,-37.8646,145.0247,u,490000,2,105,12/08/2018,1.19,1,84
19 Glassford St,,,,Armadale,-37.8521,145.019,h,2365000,1,472,22/05/2020,5.36,1,326
14 New St,,,,Armadale,-37.8542,145.0149,h,1300000,2,115,17/03/2020,1.32,1,264
7/501 Orrong Rd,,,,Armadale,-37.8597,145.0104,u,732000,14,6,10/01/2020,0.11,4,53
6/51 Armadale St,,,,Armadale,-37.8573,145.0186,u,704000,7,10,30/12/2019,0.15,1,365
12/41 Kooyong Rd,,,,Armadale,-37.8596,145.0198,u,620000,1,73,3/06/2020,0.82,4,88
63 Denbigh Rd,,,,Armadale,-37.8559,145.0158,h,1900000,3,0,,,1,0
13/56 Sutherland Rd,,,,Armadale,-37.8575,145.0174,u,315000,2,55,15/09/2019,0.63,1,0
7/22 Derby St,,,,Armadale,-37.8509,145.0203,u,450000,1,362,7/08/2020,4.2,1,191
10/51 Armadale St,,,,Armadale,-37.8573,145.0186,u,710000,2,234,22/03/2020,2.66,1,201
